exporter,importer,year,commodity,trade_quantity
Australia,Hong Kong,2019,Sunflower seed,7.13
Australia,Hong Kong,2019,Wheat,237.73000000000002
Australia,Hungary,2019,Maize (corn),0.01
Australia,India,2019,Soya beans,0.1
Australia,India,2019,Wheat,1590.18
Australia,Indonesia,2019,Barley,11.83
Australia,Indonesia,2019,Cattle,351226.25
Australia,Indonesia,2019,Maize (corn),3073.065
Australia,Indonesia,2019,Potatoes,2154.965
Australia,Indonesia,2019,Wheat,927881.2
Australia,Israel,2019,Cattle,30968.75
Australia,Israel,2019,Maize (corn),33.72
Australia,Italy,2019,Soya beans,22.88
Australia,Japan,2019,Bananas,69.97
Australia,Japan,2019,Barley,598670.5
Australia,Japan,2019,Cattle,8745.5
Australia,Japan,2019,Maize (corn),30.58
Australia,Japan,2019,Sunflower seed,7.71
Australia,Japan,2019,Wheat,908493.5
Australia,Jordan,2019,Cattle,75.3225
Australia,Jordan,2019,Wheat,256.04
Australia,Kazakhstan,2019,Cattle,3184.69
Australia,Kenya,2019,Wheat,44469.0
Australia,Kuwait,2019,Barley,45632.4
Australia,Kuwait,2019,Cattle,814.26
Australia,Kuwait,2019,Potatoes,6.57
Australia,Kuwait,2019,Wheat,458482.0
Australia,Macao,2019,Bananas,0.1
Australia,Macao,2019,Barley,6.0
Australia,Macao,2019,Potatoes,113.45500000000001
Australia,Macao,2019,Sunflower seed,0.13
Australia,Macao,2019,Wheat,0.0
Australia,Malaysia,2019,Bananas,0.03
Australia,Malaysia,2019,Barley,1978.185
Australia,Malaysia,2019,Cattle,11462.25
Australia,Malaysia,2019,Chickens,39.5
Australia,Malaysia,2019,Maize (corn),10.55
Australia,Malaysia,2019,Potatoes,4019.605
Australia,Malaysia,2019,Soya beans,7.96
Australia,Malaysia,2019,Sunflower seed,0.81
Australia,Malaysia,2019,Wheat,503228.705
Australia,Maldives,2019,Bananas,0.2
Australia,Maldives,2019,Barley,0.17
Australia,Maldives,2019,Maize (corn),1.21
Australia,Maldives,2019,Potatoes,70.94
Australia,Maldives,2019,Soya beans,3.8
Australia,Maldives,2019,Sunflower seed,0.11
Australia,Maldives,2019,Wheat,0.32
Australia,Mauritius,2019,Potatoes,980.5
Australia,Mauritius,2019,Wheat,105.27
Australia,Myanmar,2019,Chickens,92.0
Australia,Myanmar,2019,Maize (corn),1.46
Australia,Myanmar,2019,Potatoes,0.0
Australia,Myanmar,2019,Wheat,204759.89
Australia,Namibia,2019,Maize (corn),6.59
Australia,Nauru,2019,Bananas,10.47
Australia,Nauru,2019,Potatoes,25.56
Australia,Nepal,2019,Chickens,3.0
Australia,Nepal,2019,Wheat,0.01
Australia,Netherlands (Kingdom of the),2019,Maize (corn),3.115
Australia,New Caledonia,2019,Barley,366.82
Australia,New Caledonia,2019,Maize (corn),14.04
Australia,New Caledonia,2019,Soya beans,1.0
Australia,New Caledonia,2019,Sunflower seed,0.71
Australia,New Caledonia,2019,Wheat,14027.7
Australia,New Zealand,2019,Bananas,15.29
Australia,New Zealand,2019,Barley,5660.42
Australia,New Zealand,2019,Maize (corn),91.33500000000001
Australia,New Zealand,2019,Potatoes,0.01
Australia,New Zealand,2019,Rice,46.22
Australia,New Zealand,2019,Soya beans,282.24
Australia,New Zealand,2019,Sunflower seed,3.395
Australia,New Zealand,2019,Wheat,407737.0
Australia,Norway,2019,Barley,0.36
Australia,Oman,2019,Barley,9286.86
Australia,Oman,2019,Cattle,2389.75
Australia,Oman,2019,Potatoes,7.31
Australia,Oman,2019,Wheat,71950.2
Australia,Pakistan,2019,Barley,2581.8199999999997
Australia,Pakistan,2019,Cattle,2127.75
Australia,Pakistan,2019,Maize (corn),1.05
Australia,Pakistan,2019,Sunflower seed,762.185
Australia,Papua New Guinea,2019,Barley,498.72
Australia,Papua New Guinea,2019,Maize (corn),133.34
Australia,Papua New Guinea,2019,Potatoes,89.01
Australia,Papua New Guinea,2019,Rice,14.66
Australia,Papua New Guinea,2019,Soya beans,199.0
Australia,Papua New Guinea,2019,Sunflower seed,0.03
Australia,Papua New Guinea,2019,Wheat,233611.0
Australia,Philippines,2019,Barley,6423.59
Australia,Philippines,2019,Cattle,8656.0
Australia,Philippines,2019,Chickens,288.5
Australia,Philippines,2019,Maize (corn),112.32
Australia,Philippines,2019,Potatoes,4920.46
Australia,Philippines,2019,Sunflower seed,3.915
Australia,Philippines,2019,Wheat,1779134.62
Australia,Poland,2019,Sunflower seed,0.09
Australia,Qatar,2019,Barley,62716.7
Australia,Qatar,2019,Cattle,11162.0
Australia,Qatar,2019,Maize (corn),0.04
Australia,Qatar,2019,Potatoes,1407.595
Australia,Republic of Korea,2019,Bananas,0.0
Australia,Republic of Korea,2019,Barley,29299.774999999998
Australia,Republic of Korea,2019,Maize (corn),46728.55
Australia,Republic of Korea,2019,Potatoes,17015.63
Australia,Republic of Korea,2019,Soya beans,209.5
Australia,Republic of Korea,2019,Sunflower seed,0.0
Australia,Republic of Korea,2019,Wheat,1106213.9
Australia,Russia,2019,Cattle,19397.005
Australia,Samoa,2019,Maize (corn),10.535
